"Gene_Symbol","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB13","ENSG00000143545",400.964568026589,0.135421069795878,0.314955207228949,0.429969299404015,0.667217973786919,0.869002989132638
"ANAPC16","ENSG00000166295",3437.16574697537,-0.124570314866062,0.289527993857065,-0.430253092996459,0.667011544480741,0.869002989132638
"GARIN1A","ENSG00000205085",36.4084972293505,-0.254365156214551,0.591419743472813,-0.430092432695805,0.66712840447005,0.869002989132638
"C4orf46P2","ENSG00000248503",14.6259000286698,0.376574023097881,0.875687029256094,0.430032660661635,0.667171883104082,0.869002989132638
"TBC1D25","ENSG00000068354",586.015586715049,-0.102637395989682,0.239181979427843,-0.429118432062502,0.667837039165923,0.869048098597086
"RABGGTA","ENSG00000100949",881.307762183724,0.126324410697133,0.294091730997369,0.429540845193853,0.667529675848767,0.869048098597086
"FAH","ENSG00000103876",622.419794718408,0.128827130587206,0.300197352825839,0.429141461023961,0.667820281010855,0.869048098597086
"FBXL20","ENSG00000108306",1473.98022293303,-0.131992897353908,0.307555010483456,-0.429168418184519,0.667800664519147,0.869048098597086
"DIAPH1","ENSG00000131504",7367.40548481952,-0.131907143842135,0.307330621865656,-0.429202736262955,0.667775691879763,0.869048098597086
"RBBP4","ENSG00000162521",3986.01215208422,-0.116290915267052,0.270741766106444,-0.429527061670019,0.667539704367351,0.869048098597086
"TRIM58","ENSG00000162722",196.092616810362,0.491311952720294,1.14318709511424,0.42977387937641,0.667360135478677,0.869048098597086
"BSN","ENSG00000164061",89.5782926113595,-0.255887860083512,0.596116861854663,-0.42925787954963,0.667735565886777,0.869048098597086
"COQ4","ENSG00000167113",1836.7744882772,-0.139992536353616,0.325690766351531,-0.429832684303113,0.667317355557738,0.869048098597086
"ENSG00000207425","ENSG00000207425",28.4204139545083,1.59781642820127,3.71969954636377,0.42955523914915,0.667519203260163,0.869048098597086
"CYP4A22-AS1","ENSG00000225506",10.9279763401682,-0.545483479141654,1.27008264284224,-0.429486602478835,0.667569141721847,0.869048098597086
"ENSG00000272077","ENSG00000272077",32.9113863850743,0.257578927368024,0.600193592333306,0.429159742220277,0.667806977918239,0.869048098597086
"ENSG00000272842","ENSG00000272842",15.5073828831827,-0.369731354662771,0.861375648231806,-0.42923358168035,0.667753246546325,0.869048098597086
"ENSG00000288817","ENSG00000288817",11.0983476113292,0.357424144154945,0.832516283211886,0.429329913855842,0.667683150273879,0.869048098597086
"HSD17B1-AS1","ENSG00000266962",80.1236211724612,0.169759333264957,0.395721690810907,0.428986677270807,0.667932920196277,0.869118540699175
"RIBC1","ENSG00000158423",41.2767132932576,-0.374698316938038,0.874033013299373,-0.428700416616525,0.66814125741798,0.869161943924596
"ALG10B","ENSG00000175548",354.621909946086,-0.161446639947018,0.376439929882082,-0.42887756354006,0.668012328901881,0.869161943924596
"HTR1F","ENSG00000179097",11.2362829375594,0.39947967971459,0.932189142837636,0.428539296755326,0.668258529851911,0.869161943924596
"KAZN","ENSG00000189337",616.817322454834,-0.167092413808996,0.389788341413999,-0.428674734608148,0.668159949739248,0.869161943924596
"ZNF140","ENSG00000196387",170.815786682678,-0.149276223655552,0.348148567281472,-0.428771615581185,0.66808943723851,0.869161943924596
"ZNF587","ENSG00000198466",1005.11884781849,-0.124427815607565,0.290331369751096,-0.428571723800423,0.668234926905918,0.869161943924596
